
b'2018-11-24T20:30:12.437000Z 4140.0\n'
b'2018-11-24T20:30:12.789000Z 4140.0\n'
b'2018-11-24T20:30:17.449000Z 4139.99\n'
b'2018-11-24T20:30:18.949000Z 4140.0\n'
b'2018-11-24T20:30:18.949000Z 4142.01\n'
b'2018-11-24T20:30:19.664000Z 4142.01\n'
b'2018-11-24T20:30:21.271000Z 4142.01\n'
b'2018-11-24T20:30:30.641000Z 4142.01\n'
b'2018-11-24T20:30:30.898000Z 4142.01\n'
b'2018-11-24T20:30:30.956000Z 4142.0\n'
b'2018-11-24T20:30:34.701000Z 4142.01\n'
b'2018-11-24T20:30:42.645000Z 4142.01\n'
b'2018-11-24T20:30:42.984000Z 4142.01\n'
b'2018-11-24T20:30:45.300000Z 4142.01\n'
b'2018-11-24T20:30:49.143000Z 4143.43\n'
b'2018-11-24T20:30:49.411000Z 4143.43\n'
b'2018-11-24T20:30:51.823000Z 4145.0\n'
b'2018-11-24T20:30:51.823000Z 4145.0\n'
b'2018-11-24T20:30:56.451000Z 4145.0\n'
b'2018-11-24T20:30:56.451000Z 4147.75\n'
b'2018-11-24T20:30:56.451000Z 4147.75\n'
b'2018-11-24T20:30:56.732000Z 4147.75\n'
b'2018-11-24T20:30:56.732000Z 4148.0\n'
b'2018-11-24T20:30:58.444000Z 4147.99\n'
b'2018-11-24T20:31:00.868000Z 4147.99\n'
b'2018-11-24T20:31:02.162000Z 4147.99\n'
b'2018-11-24T20:31:07.903000Z 4148.0\n'
b'2018-11-24T20:31:11.054000Z 4148.0\n'
b'2018-11-24T20:31:14.552000Z 4148.0\n'
b'2018-11-24T20:31:16.255000Z 4148.0\n'
b'2018-11-24T20:31:16.781000Z 4148.0\n'
b'2018-11-24T20:31:20.092000Z 4148.0\n'
b'2018-11-24T20:31:24.693000Z 4148.0\n'
b'2018-11-24T20:31:27.942000Z 4148.0\n'
b'2018-11-24T20:31:30.964000Z 4148.0\n'
b'2018-11-24T20:31:36.048000Z 4148.0\n'
b'2018-11-24T20:31:36.723000Z 4148.0\n'
b'2018-11-24T20:31:37.492000Z 4148.0\n'
b'2018-11-24T20:31:37.785000Z 4147.99\n'
b'2018-11-24T20:31:37.785000Z 4147.99\n'
b'2018-11-24T20:31:38.300000Z 4148.0\n'
b'2018-11-24T20:31:43.445000Z 4147.86\n'
b'2018-11-24T20:31:44.528000Z 4147.86\n'
b'2018-11-24T20:31:44.994000Z 4148.0\n'
b'2018-11-24T20:31:46.013000Z 4148.0\n'
b'2018-11-24T20:31:48.822000Z 4148.0\n'
b'2018-11-24T20:31:54.034000Z 4148.0\n'
b'2018-11-24T20:31:55.415000Z 4148.0\n'
b'2018-11-24T20:31:58.252000Z 4148.0\n'
b'2018-11-24T20:32:06.409000Z 4148.0\n'
b'2018-11-24T20:32:08.297000Z 4148.0\n'
b'2018-11-24T20:32:08.854000Z 4148.0\n'
b'2018-11-24T20:32:09.245000Z 4147.99\n'
b'2018-11-24T20:32:09.900000Z 4148.0\n'
b'2018-11-24T20:32:16.505000Z 4148.0\n'
b'2018-11-24T20:32:18.235000Z 4148.29\n'
b'2018-11-24T20:32:18.669000Z 4148.28\n'
b'2018-11-24T20:32:22.147000Z 4148.29\n'
b'2018-11-24T20:32:22.147000Z 4149.53\n'
b'2018-11-24T20:32:22.147000Z 4149.99\n'
b'2018-11-24T20:32:22.601000Z 4149.99\n'
b'2018-11-24T20:32:22.601000Z 4150.0\n'
b'2018-11-24T20:32:27.116000Z 4149.99\n'
b'2018-11-24T20:32:28.785000Z 4149.99\n'
b'2018-11-24T20:32:28.785000Z 4150.0\n'
b'2018-11-24T20:32:31.815000Z 4150.0\n'
b'2018-11-24T20:32:33.293000Z 4149.99\n'
b'2018-11-24T20:32:36.550000Z 4150.0\n'
b'2018-11-24T20:32:37.919000Z 4149.99\n'
b'2018-11-24T20:32:38.753000Z 4150.0\n'
b'2018-11-24T20:32:39.954000Z 4149.99\n'
b'2018-11-24T20:32:41.983000Z 4150.0\n'
b'2018-11-24T20:32:43.265000Z 4150.0\n'
b'2018-11-24T20:32:43.448000Z 4150.0\n'
b'2018-11-24T20:32:44.324000Z 4150.0\n'
b'2018-11-24T20:32:44.324000Z 4150.0\n'
b'2018-11-24T20:32:44.324000Z 4150.0\n'
b'2018-11-24T20:32:45.827000Z 4152.0\n'
b'2018-11-24T20:32:47.651000Z 4152.0\n'
b'2018-11-24T20:32:48.412000Z 4152.0\n'
b'2018-11-24T20:32:48.412000Z 4152.5\n'
b'2018-11-24T20:32:48.556000Z 4152.5\n'
b'2018-11-24T20:32:48.556000Z 4152.87\n'
b'2018-11-24T20:32:48.825000Z 4152.87\n'
b'2018-11-24T20:32:48.825000Z 4153.29\n'
b'2018-11-24T20:32:55.389000Z 4154.69\n'
b'2018-11-24T20:32:56.119000Z 4154.69\n'
b'2018-11-24T20:32:56.119000Z 4155.0\n'
b'2018-11-24T20:32:57.127000Z 4155.0\n'
b'2018-11-24T20:32:57.349000Z 4155.0\n'
b'2018-11-24T20:32:57.879000Z 4155.0\n'
b'2018-11-24T20:32:59.016000Z 4155.0\n'
b'2018-11-24T20:33:01.876000Z 4155.0\n'
b'2018-11-24T20:33:06.366000Z 4155.0\n'
b'2018-11-24T20:33:07.630000Z 4155.0\n'
b'2018-11-24T20:33:07.630000Z 4155.0\n'
b'2018-11-24T20:33:07.630000Z 4155.0\n'
b'2018-11-24T20:33:08.089000Z 4155.0\n'
b'2018-11-24T20:33:08.676000Z 4155.0\n'
b'2018-11-24T20:33:08.754000Z 4155.0\n'
b'2018-11-24T20:33:08.946000Z 4155.0\n'
b'2018-11-24T20:33:08.946000Z 4156.98\n'
b'2018-11-24T20:33:09.361000Z 4156.98\n'
b'2018-11-24T20:33:09.361000Z 4157.0\n'
b'2018-11-24T20:33:09.361000Z 4157.08\n'
b'2018-11-24T20:33:09.466000Z 4157.5\n'
b'2018-11-24T20:33:09.775000Z 4157.91\n'
b'2018-11-24T20:33:10.041000Z 4158.29\n'
b'2018-11-24T20:33:10.388000Z 4158.77\n'
b'2018-11-24T20:33:10.671000Z 4158.77\n'
b'2018-11-24T20:33:10.671000Z 4160.0\n'
b'2018-11-24T20:33:10.671000Z 4160.0\n'
b'2018-11-24T20:33:11.748000Z 4162.49\n'
b'2018-11-24T20:33:11.919000Z 4163.29\n'
b'2018-11-24T20:33:13.301000Z 4164.43\n'
b'2018-11-24T20:33:13.944000Z 4164.19\n'
b'2018-11-24T20:33:14.071000Z 4164.2\n'
b'2018-11-24T20:33:14.071000Z 4164.2\n'
b'2018-11-24T20:33:14.362000Z 4164.19\n'
b'2018-11-24T20:33:14.398000Z 4164.19\n'
b'2018-11-24T20:33:14.756000Z 4164.19\n'
b'2018-11-24T20:33:15.798000Z 4164.19\n'
b'2018-11-24T20:33:16.221000Z 4164.2\n'
b'2018-11-24T20:33:16.705000Z 4164.19\n'
b'2018-11-24T20:33:16.705000Z 4164.19\n'
b'2018-11-24T20:33:23.673000Z 4162.54\n'
b'2018-11-24T20:33:23.852000Z 4162.54\n'
b'2018-11-24T20:33:24.023000Z 4162.54\n'
b'2018-11-24T20:33:24.087000Z 4160.0\n'
b'2018-11-24T20:33:24.227000Z 4162.54\n'
b'2018-11-24T20:33:24.377000Z 4162.54\n'
b'2018-11-24T20:33:24.845000Z 4156.76\n'
b'2018-11-24T20:33:25.731000Z 4157.23\n'
b'2018-11-24T20:33:25.731000Z 4156.75\n'
b'2018-11-24T20:33:25.731000Z 4155.1\n'
b'2018-11-24T20:33:26.829000Z 4160.13\n'
b'2018-11-24T20:33:32.679000Z 4157.95\n'
b'2018-11-24T20:33:32.710000Z 4159.3\n'
b'2018-11-24T20:33:34.025000Z 4159.0\n'
b'2018-11-24T20:33:34.039000Z 4159.01\n'
b'2018-11-24T20:33:34.148000Z 4159.0\n'
b'2018-11-24T20:33:34.153000Z 4159.0\n'
b'2018-11-24T20:33:34.458000Z 4159.0\n'
b'2018-11-24T20:33:36.262000Z 4159.0\n'
b'2018-11-24T20:33:40.049000Z 4159.01\n'
b'2018-11-24T20:33:41.259000Z 4159.0\n'
b'2018-11-24T20:33:41.259000Z 4155.12\n'
b'2018-11-24T20:33:41.259000Z 4155.0\n'
b'2018-11-24T20:33:42.733000Z 4155.11\n'
b'2018-11-24T20:33:42.733000Z 4158.36\n'
b'2018-11-24T20:33:43.255000Z 4158.34\n'
b'2018-11-24T20:33:43.255000Z 4158.35\n'
b'2018-11-24T20:33:44.821000Z 4155.32\n'
b'2018-11-24T20:33:44.821000Z 4155.31\n'
b'2018-11-24T20:33:44.821000Z 4155.03\n'
b'2018-11-24T20:33:46.437000Z 4158.32\n'
b'2018-11-24T20:33:48.050000Z 4158.29\n'
b'2018-11-24T20:33:48.610000Z 4158.28\n'
b'2018-11-24T20:33:49.485000Z 4158.33\n'
b'2018-11-24T20:33:49.485000Z 4158.34\n'
b'2018-11-24T20:33:49.485000Z 4158.95\n'
b'2018-11-24T20:33:51.846000Z 4158.94\n'
b'2018-11-24T20:33:53.869000Z 4158.89\n'
b'2018-11-24T20:33:54.725000Z 4158.78\n'
b'2018-11-24T20:33:55.911000Z 4158.57\n'
b'2018-11-24T20:33:56.109000Z 4158.52\n'
b'2018-11-24T20:33:58.781000Z 4158.49\n'
b'2018-11-24T20:33:59.904000Z 4156.33\n'
b'2018-11-24T20:34:02.116000Z 4158.24\n'
b'2018-11-24T20:34:04.630000Z 4158.4\n'
b'2018-11-24T20:34:06.048000Z 4158.28\n'
b'2018-11-24T20:34:06.939000Z 4158.21\n'
b'2018-11-24T20:34:07.125000Z 4158.18\n'
b'2018-11-24T20:34:07.125000Z 4158.19\n'
b'2018-11-24T20:34:07.125000Z 4158.53\n'
b'2018-11-24T20:34:08.658000Z 4158.47\n'
b'2018-11-24T20:34:08.923000Z 4158.4\n'
b'2018-11-24T20:34:09.301000Z 4156.95\n'
b'2018-11-24T20:34:09.301000Z 4154.63\n'
b'2018-11-24T20:34:09.787000Z 4155.63\n'
b'2018-11-24T20:34:09.802000Z 4158.32\n'
b'2018-11-24T20:34:10.338000Z 4158.19\n'
b'2018-11-24T20:34:10.338000Z 4158.19\n'
b'2018-11-24T20:34:13.079000Z 4157.92\n'
b'2018-11-24T20:34:13.690000Z 4157.87\n'
b'2018-11-24T20:34:13.919000Z 4155.58\n'
b'2018-11-24T20:34:13.919000Z 4155.58\n'
b'2018-11-24T20:34:21.429000Z 4157.01\n'
b'2018-11-24T20:34:23.704000Z 4156.0\n'
b'2018-11-24T20:34:24.077000Z 4155.98\n'
b'2018-11-24T20:34:25.338000Z 4155.0\n'
b'2018-11-24T20:34:30.603000Z 4155.97\n'
b'2018-11-24T20:34:30.603000Z 4156.0\n'
b'2018-11-24T20:34:31.444000Z 4156.0\n'
b'2018-11-24T20:34:37.306000Z 4155.99\n'
b'2018-11-24T20:34:40.652000Z 4156.0\n'
b'2018-11-24T20:34:40.693000Z 4156.0\n'
b'2018-11-24T20:34:40.983000Z 4156.0\n'
b'2018-11-24T20:34:43.792000Z 4156.0\n'
b'2018-11-24T20:34:43.879000Z 4156.0\n'
b'2018-11-24T20:34:46.875000Z 4156.0\n'
b'2018-11-24T20:34:48.979000Z 4156.0\n'
b'2018-11-24T20:34:48.980000Z 4157.34\n'
b'2018-11-24T20:34:48.980000Z 4158.83\n'
b'2018-11-24T20:34:52.407000Z 4158.16\n'
b'2018-11-24T20:34:52.407000Z 4158.17\n'
b'2018-11-24T20:34:53.668000Z 4158.0\n'
b'2018-11-24T20:34:57.743000Z 4157.61\n'
b'2018-11-24T20:34:58.028000Z 4155.0\n'
b'2018-11-24T20:35:00.958000Z 4157.18\n'
b'2018-11-24T20:35:00.958000Z 4157.19\n'
b'2018-11-24T20:35:04.387000Z 4156.63\n'
b'2018-11-24T20:35:09.724000Z 4155.01\n'
b'2018-11-24T20:35:09.724000Z 4154.63\n'
b'2018-11-24T20:35:10.289000Z 4156.34\n'
b'2018-11-24T20:35:10.293000Z 4156.34\n'
b'2018-11-24T20:35:14.402000Z 4156.1\n'
b'2018-11-24T20:35:19.721000Z 4155.03\n'
b'2018-11-24T20:35:23.192000Z 4155.04\n'
b'2018-11-24T20:35:23.192000Z 4155.03\n'
b'2018-11-24T20:35:23.742000Z 4155.05\n'
b'2018-11-24T20:35:26.275000Z 4155.62\n'
b'2018-11-24T20:35:27.979000Z 4155.65\n'
b'2018-11-24T20:35:30.824000Z 4155.66\n'
b'2018-11-24T20:35:31.130000Z 4155.66\n'
b'2018-11-24T20:35:34.698000Z 4155.33\n'
b'2018-11-24T20:35:35.839000Z 4155.36\n'
b'2018-11-24T20:35:37.516000Z 4158.83\n'
b'2018-11-24T20:35:38.660000Z 4157.94\n'
b'2018-11-24T20:35:38.924000Z 4155.06\n'
b'2018-11-24T20:35:41.706000Z 4157.79\n'
b'2018-11-24T20:35:41.882000Z 4155.05\n'
b'2018-11-24T20:35:42.468000Z 4155.03\n'
